wdid,icrsra,icrsdec,spectype,teff,logg,mass,logL,age,loghhe,logche,logch,lognh,logohe,logoh,lognahe,lognah,logmghe,logmgh,logalhe,logalh,logsihe,logsih,logphe,logph,logshe,logsh,logclhe,logcahe,logcah,logsche,logsch,logtihe,logtih,logvhe,logcrhe,logcrh,logmnhe,logmnh,logfehe,logfeh,logcohe,lognihe,lognih,logcuhe,logznhe,loggahe,loggehe,logsrhe,parallax,Dpc,comp,Mv
SDSS J101750.24+241911.6,10 17 50.21,24 19 10.85,DZ,6772.0,8.409,0.84,,3.93,<-3.2638,,,,,,-8.15,,-6.7,,,,,,,,,,,-8.4,,,,,,,,,,,-7.3,,,,,,,,,,5.826487389,171.63,He,
SDSS J101805.16+034435.6,10 18 05.10,03 44 36.07,DZ,9264.0,8.1683,0.6833,,0.979,<-5.636,,,,,,,,,,,,,,,,,,,-8.6915,,,,,,,,,,,,,,,,,,,,,3.834767243,260.77,He,
SDSS J101924.73+353527.6,10 19 24.70,35 35 27.91,DZ,6224.0,8.0,,,0.0,<-3.0355,,,,,,,,-7.0,,,,,,,,,,,-8.8,,,,,,,,,,,-7.9,,,,,,,,,,,261.1547,He,
SDSS J101937.76+034251.1,10 19 37.76,03 42 51.10,DZ,6266.0,8.0,,,,,,,,,,,,,,,,,,,,,,,-10.305,,,,,,,,,,,,,,,,,,,,,-0.402466716,21377.28,He,
SDSS J101959.51+204553.4,10 19 59.55,20 45 53.45,DZ,5515.0,8.0,,,0.0,<-3.0,,,,,,,,-8.2,,,,,,,,,,,-9.4,,,,,,,,,,,-8.2,,,,,,,,,,4.87948782,204.94,He,
SDSS J102306.10-001434.8,10 23 06.10,-00 14 34.79,DZ,7549.0,8.0,,,0.0,<-4.1836,,,,,,,,,,,,,,,,,,,-9.4168,,,,,,,,,,,,,,,,,,,,,,397.8712,He,
SDSS J102414.83+453109.9,10 24 14.81,45 31 09.94,DZ,6339.0,8.356,0.803,,4.22,<-3.0071,,,,,,,,-7.3,,,,,,,,,,,-8.4,,,,,,,,,,,-7.6,,,,,,,,,,6.682545454,149.64,He,
SDSS J102421.89+222747.1,10 24 21.89,22 27 47.16,DZ,7517.0,8.0,,,0.0,<-4.1611,,,,,,,,,,,,,,,,,,,-10.41,,,,,,,,,,,,,,,,,,,,,,367.163,He,
SDSS J102438.05+101410.5,10 24 38.01,10 14 10.51,DZ,6105.0,8.0,,,0.0,<-3.1344,,,,,,-8.63,,-6.1,,,,,,,,,,,-7.7,,,,-8.52,,,-8.4,,,,-6.6,,,,,,,,,,5.5050263,181.65,He,
SDSS J102540.75+201613.8,10 25 40.75,20 16 13.79,DZ,7612.0,8.0,,,0.0,<-4.2325,,,,,,,,,,,,,,,,,,,-9.945,,,,,,,,,,,,,,,,,,,,,,461.7102,He,
SDSS J102607.59+194808.0,10 26 07.57,19 48 07.82,DZ,10703.0,8.0,,,0.0,<-6.0081,,,,,,,,,,,,,,,,,,,-8.2345,,,,,,,,,,,,,,,,,,,,,5.114671537,195.52,He,
SDSS J102620.95+264611.6,10 26 20.95,26 46 11.68,DZ,6803.0,8.0,,,0.0,<-3.7301,,,,,,,,,,,,,,,,,,,-10.5574,,,,,,,,,,,,,,,,,,,,,,305.308,He,
SDSS J102646.49+651829.7,10 26 46.52,65 18 29.48,DZ:,8567.0,8.0,,,,,,,,,,,,,,,,,,,,,,,-10.5,,,,,,,,,,,,,,,,,,,,,5.178473673,193.11,He,
SDSS J102756.87+453223.3,10 27 56.79,45 32 23.01,DZ,9076.0,7.9249,0.5349,,0.727,<-5.6452,,,,,,,,,,,,,,,,,,,-8.1327,,,,,,,,,,,,,,,,,,,,,5.776472401,173.12,He,
SDSS J102834.08+250724.6,10 28 34.08,25 07 24.67,DZ,5847.0,8.0,,,0.0,<-3.0,,,,,,,,,,,,,,,,,,,-9.4702,,,,,,,,,,,,,,,,,,,,,,273.8049,He,
SDSS J102930.40+201318.8,10 29 30.38,20 13 18.65,DZ,6281.0,8.0,,,0.0,<-3.1809,,,,,,,,,,,,,,,,,,,-10.7521,,,,,,,,,,,,,,,,,,,,,,226.8043,He,
